Virtual address: 2351, Physical address: 846, Value: 75
Virtual address: 28999, Physical address: 4544, Value: 81
Virtual address: 47699, Physical address: 7636, Value: 84
Virtual address: 46870, Physical address: 1694, Value: 24
Virtual address: 22311, Physical address: 1716, Value: -55
Virtual address: 22124, Physical address: 10044, Value: 0
Virtual address: 22427, Physical address: 6820, Value: -26
Virtual address: 49344, Physical address: 6336, Value: 0
Virtual address: 23224, Physical address: 2208, Value: 0
Virtual address: 5514, Physical address: 11592, Value: 10
Virtual address: 20504, Physical address: 2256, Value: 0
Virtual address: 376, Physical address: 11400, Value: 0
Virtual address: 2014, Physical address: 222, Value: 1
Virtual address: 38700, Physical address: 2420, Value: 0
Virtual address: 13098, Physical address: 1890, Value: 12
Virtual address: 62435, Physical address: 21111, Value: 120
Virtual address: 48046, Physical address: 17400, Value: 54
Virtual address: 63464, Physical address: 15312, Value: 0
Virtual address: 12798, Physical address: 30734, Value: 12
Virtual address: 51178, Physical address: 9126, Value: 49
Virtual address: 8627, Physical address: 13962, Value: 44
Virtual address: 27083, Physical address: 21315, Value: 114
Virtual address: 47198, Physical address: 10904, Value: 45
Virtual address: 44021, Physical address: 23520, Value: 0
Virtual address: 32792, Physical address: 384, Value: 0
Virtual address: 43996, Physical address: 21120, Value: 0
Virtual address: 41126, Physical address: 5644, Value: 11
Virtual address: 64244, Physical address: 4148, Value: 0
Virtual address: 37047, Physical address: 12993, Value: -83
Virtual address: 60281, Physical address: 11737, Value: 0
Virtual address: 52904, Physical address: 9744, Value: 0
Virtual address: 7768, Physical address: 8624, Value: 0
Virtual address: 55359, Physical address: 6237, Value: -49
Virtual address: 3230, Physical address: 4582, Value: 2
Virtual address: 44813, Physical address: 663, Value: 0
Virtual address: 4116, Physical address: 1400, Value: 0
Virtual address: 65222, Physical address: 12078, Value: 63
Virtual address: 28083, Physical address: 2327, Value: -20
Virtual address: 60660, Physical address: 6832, Value: 0
Virtual address: 39, Physical address: 3900, Value: 9
Virtual address: 328, Physical address: 6840, Value: 0
Virtual address: 47868, Physical address: 23184, Value: 0
Virtual address: 13009, Physical address: 24662, Value: 0
Virtual address: 22378, Physical address: 4664, Value: 26
Virtual address: 39304, Physical address: 12104, Value: 0
Virtual address: 11171, Physical address: 4564, Value: -88
Virtual address: 8079, Physical address: 572, Value: -93
Virtual address: 52879, Physical address: 8294, Value: 99
Virtual address: 5123, Physical address: 177, Value: 0
Virtual address: 4356, Physical address: 404, Value: 0
Virtual address: 45745, Physical address: 5310, Value: 0
Virtual address: 32952, Physical address: 2944, Value: 0
Virtual address: 4657, Physical address: 5292, Value: 0
Virtual address: 24142, Physical address: 234, Value: 23
Virtual address: 23319, Physical address: 1840, Value: -59
Virtual address: 13607, Physical address: 3081, Value: 9
Virtual address: 46304, Physical address: 15008, Value: 0
Virtual address: 17677, Physical address: 494, Value: 0
Virtual address: 59691, Physical address: 2451, Value: 10
Virtual address: 50967, Physical address: 897, Value: -123
Virtual address: 7817, Physical address: 13426, Value: 0
Virtual address: 8545, Physical address: 7566, Value: 0
Virtual address: 55297, Physical address: 99, Value: 0
Virtual address: 52954, Physical address: 12644, Value: 51
Virtual address: 39720, Physical address: 840, Value: 0
Virtual address: 18455, Physical address: 483, Value: -123
Virtual address: 30349, Physical address: 14382, Value: 0
Virtual address: 63270, Physical address: 2508, Value: 31
Virtual address: 27156, Physical address: 2240, Value: 0
Virtual address: 20614, Physical address: 12596, Value: 19
Virtual address: 19372, Physical address: 9460, Value: 0
Virtual address: 48689, Physical address: 0, Value: 0
Virtual address: 49386, Physical address: 7722, Value: 28
Virtual address: 50584, Physical address: 10944, Value: 0
Virtual address: 51936, Physical address: 23744, Value: 0
Virtual address: 34705, Physical address: 10150, Value: 0
Virtual address: 13653, Physical address: 6715, Value: 0
Virtual address: 50077, Physical address: 16171, Value: 0
Virtual address: 54518, Physical address: 18450, Value: 5
Virtual address: 41482, Physical address: 350, Value: 40
Virtual address: 4169, Physical address: 5110, Value: 0
Virtual address: 36118, Physical address: 1870, Value: 35
Virtual address: 9584, Physical address: 11648, Value: 0
Virtual address: 18490, Physical address: 1218, Value: 38
Virtual address: 55420, Physical address: 12276, Value: 0
Virtual address: 5708, Physical address: 5700, Value: 0
Virtual address: 23506, Physical address: 16800, Value: 42
